dynasty,title,author,original_phrase,original_phrase_en,sound_source_raw,sound_source_en,context_window,sound_category,perception_reality,is_negated,lng/X,lat/Y,certainty
Tang,在狱咏蝉,骆宾王,蝉声唱,cicada's song,蝉,cicada,西陆蝉声唱,Animal,real,FALSE,108.946306,34.347436,T
Tang,在狱咏蝉,骆宾王,响易沈,sound easily sinks,蝉声,cicada sound,风多响易沈,Animal,real,FALSE,108.946306,34.347436,T
Tang,鼓吹曲辞 将进酒,李白,与君歌一曲,sing a song for you,歌,song,与君歌一曲，请君为我侧耳听。,Human,real,FALSE,113.014821,34.523694,T
Tang,鼓吹曲辞 将进酒,李白,侧耳听,listen attentively,听,listening,请君为我侧耳听。,Human,real,FALSE,113.014821,34.523694,T
Tang,鼓吹曲辞 将进酒,李白,钟鼓,bells and drums,钟鼓,bells and drums,钟鼓馔玉不足贵，但愿长醉不复醒。,Instrument,real,FALSE,113.014821,34.523694,T
Tang,横吹曲辞 关山月,李白,叹息,sigh,戍客,frontier soldiers,高楼当此夜，叹息未应闲。,Human,real,FALSE,,,
Tang,蝉,李商隐,恨费声,resentfully waste sound,蝉,cicada,徒劳恨费声,Animal,real,FALSE,111.196716,30.3092385,T
Tang,蝉,李商隐,疎欲断,sparse and about to break off,蝉声,cicada sound,五更疎欲断,Animal,real,FALSE,111.196716,30.3092385,T
Tang,蝉,李商隐,最相警,most mutually alerting,蝉声,cicada sound,烦君最相警,Animal,real,FALSE,111.196716,30.3092385,T
Tang,夜雨寄北,李商隐,话,talk about,人,people,却话巴山夜雨时,Human,imagination,FALSE,105.101082,31.101709,T
Tang,韩碑,李商隐,愿书万本诵万过,Wish to copy ten thousand copies and recite ten thousand times,诵,recite,愿书万本诵万过,Human,imagination,FALSE,108.228551,34.169587,T
Tang,风雨,李商隐,管弦,pipes and strings,管弦,musical instruments,青楼自管弦,Instrument,real,FALSE,114.1827065,29.8976845,T
Tang,隋宫,李商隐,有暮鸦,have evening crows,暮鸦,evening crows,终古垂杨有暮鸦,Animal,real,FALSE,119.419107,32.39986,T
Tang,无题二首 一,李商隐,听鼓,hear the drum,鼓,drum,嗟余听鼓应官去,Environment,real,FALSE,113.774691,34.223034,T
Tang,无题四首 一,李商隐,五更钟,dawn bell,钟,bell,月斜楼上五更钟,Environment,real,FALSE,,,
Tang,无题四首 一,李商隐,啼难唤,crying hard to call,啼,crying,梦为远别啼难唤,Human,dream,FALSE,,,
Tang,无题四首 二,李商隐,飒飒东风细雨来,soughing east wind with fine rain coming,东风,east wind,飒飒东风细雨来,Nature,real,FALSE,,,
Tang,无题四首 二,李商隐,有轻雷,there is light thunder,轻雷,light thunder,芙蓉塘外有轻雷,Nature,real,FALSE,,,
Tang,无题,李商隐,夜吟,night recitation,吟,recitation,夜吟应觉月光寒,Human,imagination,FALSE,109.4378865,32.947773,T
Tang,瑶池,李商隐,歌声,singing voice,歌声,singing voice,黄竹歌声动地哀,Human,real,FALSE,108.946306,34.347436,T
Tang,无题二首 一,李商隐,车走雷声,carriage moves like thunder sound,车,carriage,车走雷声语未通,Environment,real,FALSE,113.774691,34.223034,T
Tang,北青萝,李商隐,独敲初夜磬,alone striking the evening chime stone,磬,chime stone,独敲初夜磬,Instrument,real,FALSE,112.27,35.14,T
Tang,章台夜思,韦庄,清瑟怨遥夜,clear zither resents the distant night,瑟,zither,清瑟怨遥夜，遶弦风雨哀。,Instrument,real,FALSE,112.625,30.242,T
Tang,章台夜思,韦庄,遶弦风雨哀,around the strings wind and rain mourn,风雨,wind and rain,清瑟怨遥夜，遶弦风雨哀。,Nature,real,FALSE,112.625,30.242,T
Tang,宫词,薛逢,水滴铜龙昼漏长,"water drips from the bronze dragon, the day clock is long",水滴铜龙,water dripping on bronze dragon,锁衔金兽连环冷，水滴铜龙昼漏长。,Environment,real,FALSE,,,
Tang,灞上秋居,马戴,白露滴,white dew drips,白露,white dew,空园白露滴,Nature,real,FALSE,109.0809,34.315,T
Tang,春怨,金昌绪,打起黄莺儿,drive away the oriole,黄莺儿,oriole,打起黄莺儿,Animal,real,FALSE,,,
Tang,春怨,金昌绪,莫教枝上啼,don't let it sing on the branch,黄莺儿,oriole,莫教枝上啼,Animal,real,FALSE,,,
Tang,春怨,金昌绪,啼时惊妾梦,its singing startles my dream,黄莺儿,oriole,啼时惊妾梦,Animal,dream,FALSE,,,
Tang,杂诗 十三,无名氏,杜鹃休向耳边啼,"cuckoo, stop crying by my ear",杜鹃,cuckoo,杜鹃休向耳边啼,Animal,real,FALSE,,,
Tang,古意呈补阙乔知之,沈佺期,寒砧催木叶,cold anvil urges the falling leaves,砧,anvil (for washing clothes),九月寒砧催木叶,Environment,real,FALSE,112.460033,34.624376,T
Tang,青谿,王维,声喧乱石中,sound clamors among the rocks,水,water,声喧乱石中,Nature,real,FALSE,108.946306,34.347436,T
Tang,渭川田家,王维,雉雊,pheasant calls,雉,pheasant,雉雊麦苗秀,Animal,real,FALSE,108.94,34.34,T
Tang,渭川田家,王维,语依依,talk reluctantly,田夫,farmers,田夫荷锄至，相见语依依,Human,real,FALSE,108.94,34.34,T
