sound_id,poem_id,title,author,original_phrase,original_phrase_en,sound_source_raw,sound_source_en,context_window,sound_category,location_raw,location_en,location_type,perception_modality,perception_reality,is_negated,extraction_method,sound_confidence_score,lng,lat,certainty,dynasty
snd_2c6e287c,tang_在岳咏蝉_骆_0001,在狱咏蝉,骆宾王,蝉声唱,cicada's song,蝉,cicada,西陆蝉声唱,Animal,西陆,autumn (west direction),implied,direct,real,FALSE,LLM,0.95,108.946306,34.347436,T,Tang
snd_aaa8f2e3,tang_在岳咏蝉_骆_0001,在狱咏蝉,骆宾王,响易沈,sound easily sinks,蝉声,cicada sound,风多响易沈,Animal,,,,implied,real,FALSE,LLM,0.8,108.946306,34.347436,T,Tang
snd_0761c00b,tang_鼓吹曲辞 将进酒_李_0004,鼓吹曲辞 将进酒,李白,与君歌一曲,sing a song for you,歌,song,与君歌一曲，请君为我侧耳听。,Human,,,,implied,real,FALSE,LLM,0.9,113.014821,34.523694,T,Tang
snd_2c5c061f,tang_鼓吹曲辞 将进酒_李_0004,鼓吹曲辞 将进酒,李白,侧耳听,listen attentively,听,listening,请君为我侧耳听。,Human,,,,direct,real,FALSE,LLM,0.8,113.014821,34.523694,T,Tang
snd_80ed27fd,tang_鼓吹曲辞 将进酒_李_0004,鼓吹曲辞 将进酒,李白,钟鼓,bells and drums,钟鼓,bells and drums,钟鼓馔玉不足贵，但愿长醉不复醒。,Instrument,,,,implied,real,FALSE,LLM,0.9,113.014821,34.523694,T,Tang
snd_488ec39a,tang_横吹曲辞 关山月_李_0007,横吹曲辞 关山月,李白,叹息,sigh,戍客,frontier soldiers,高楼当此夜，叹息未应闲。,Human,高楼,high tower,micro_space,implied,real,FALSE,LLM,0.9,,,,Tang
snd_7a2aa092,tang_蝉_李_0011,蝉,李商隐,恨费声,resentfully waste sound,蝉,cicada,徒劳恨费声,Animal,,,,implied,real,FALSE,LLM,0.9,111.196716,30.3092385,T,Tang
snd_9491d7ca,tang_蝉_李_0011,蝉,李商隐,疎欲断,sparse and about to break off,蝉声,cicada sound,五更疎欲断,Animal,五更,the fifth watch (dawn),implied,implied,real,FALSE,LLM,0.85,111.196716,30.3092385,T,Tang
snd_73ae51af,tang_蝉_李_0011,蝉,李商隐,最相警,most mutually alerting,蝉声,cicada sound,烦君最相警,Animal,,,,direct,real,FALSE,LLM,0.8,111.196716,30.3092385,T,Tang
snd_0a7ca36f,tang_夜雨寄北_李_0013,夜雨寄北,李商隐,话,talk about,人,people,却话巴山夜雨时,Human,西窗,west window,micro_space,implied,imagination,FALSE,LLM,0.8,105.101082,31.101709,T,Tang
snd_3d831a00,tang_韩碑_李_0014,韩碑,李商隐,愿书万本诵万过,Wish to copy ten thousand copies and recite ten thousand times,诵,recite,愿书万本诵万过,Human,,,,implied,imagination,FALSE,LLM,0.8,108.228551,34.169587,T,Tang
